ciudad,departamento,latitude,longitude
Abejorral,Antioquia,5.75,-75.4166667
Abriaquí,Antioquia,6.6666667,-76.0833333
Acacías,Meta,3.9166667,-73.8333333
Acandí,Chocó,8.3333333,-77.1666667
Acevedo,Huila,1.75,-75.9166667
Achí,Bolívar,8.25,-74.5
Agrado,Huila,2.3333333,-75.75
Agua de Dios,Cundinamarca,4.4166667,-74.6666667
Aguachica,Cesar,8.3333333,-73.5833333
Aguada,Santander,6.25,-73.4666667
Aguadas,Caldas,5.6333333,-75.4166667
Aguazul,Casanare,5.1730556,-72.5547222
Agustín Codazzi,Cesar,9.9166667,-73.25
Aipe,Huila,3.25,-75.3333333
Albania,Caquetá,1.3316667,-75.8822222
Albania,La Guajira,11.1597222,-72.5855556
Albania,Santander,5.8333333,-73.75
Albán,Cundinamarca,4.9166667,-74.45
Albán (San José),Nariño,1.4744444,-77.0836111
Alcalá,Valle del Cauca,4.6666667,-75.75
Aldana,Nariño,0.9166667,-77.6833333
Alejandria,Antioquia,6.3666667,-75.0833333
Algarrobo,Magdalena,10.1869444,-74.5752778
Algeciras,Huila,2.5833333,-75.25
Almaguer,Cauca,1.9166667,-76.8333333
Almeida,Boyacá,4.9166667,-73.3333333
Alpujarra,Tolima,3.4166667,-74.9166667
Altamira,Huila,2.1666667,-75.8333333
Alto Baudó (Pie de Pato),Chocó,5.6666667,-77
Altos del Rosario,Bolívar,8.7944444,-74.1658333
Alvarado,Tolima,4.5833333,-75
Amagá,Antioquia,6.05,-75.7
Amalfi,Antioquia,7,-74.9166667
Ambalema,Tolima,4.8333333,-74.8333333
Anapoima,Cundinamarca,4.6166667,-74.55
Ancuya,Nariño,1.25,-77.5
Andalucía,Valle del Cauca,4.1741667,-76.1702778
Andes,Antioquia,5.5833333,-75.9166667
Angelópolis,Antioquia,6.1333333,-75.7
Angostura,Antioquia,6.8666667,-75.3333333
Anolaima,Cundinamarca,4.8333333,-74.5
Anorí,Antioquia,7.1666667,-75.0833333
Anserma,Caldas,5.25,-75.75
Ansermanuevo,Valle del Cauca,4.7972222,-75.995
Anzoátegui,Tolima,4.6666667,-75.25
Anzá,Antioquia,6.3333333,-75.9166667
Apartadó,Antioquia,7.8855556,-76.6347222
Apulo,Cundinamarca,4.5833333,-74.5833333
Apía,Risaralda,5.1666667,-76
Aquitania,Boyacá,5.5197222,-72.8875
Aracataca,Magdalena,10.5833333,-74
Aranzazu,Caldas,5.3,-75.45
Aratoca,Santander,6.8333333,-72.9666667
Arauca,Arauca,7.0902778,-70.7616667
Arauquita,Arauca,6.8219444,-71.3236111
Arbeláez,Cundinamarca,4.3,-74.5833333
Arboleda (Berruecos),Nariño,1.5033333,-77.0877778
Arboledas,Norte de Santander,7.6666667,-72.75
Arboletes,Antioquia,8.5,-76.4166667
Arcabuco,Boyacá,5.8,-73.3833333
Arenal,Bolívar,8.4666667,-73.95
Argelia,Antioquia,5.7341667,-75.1463889
Argelia,Cauca,2.2666667,-77.25
Argelia,Valle del Cauca,4.7,-76.1333333
Ariguaní (El Difícil),Magdalena,10.25,-74
Arjona,Bolívar,10.1666667,-75.3333333
Armenia,Antioquia,6.1666667,-75.8333333
Armenia,Quindío,4.5338889,-75.6811111
Armero (Guayabal),Tolima,5.0833333,-74.8333333
Arroyohondo,Bolívar,10.2497222,-75.0113889
Astrea,Cesar,9.5011111,-73.9802778
Ataco,Tolima,3.3333333,-75.6666667
Atrato (Yuto),Chocó,5.5333333,-76.6333333
Ayapel,Córdoba,8.25,-75.25
Bagadó,Chocó,5.5,-76.25
Bahía Solano (Mútis),Chocó,6.2191667,-77.4077778
Pizarro,Chocó,5,-77.0833333
Balboa,Cauca,2.1,-77.2
Balboa,Risaralda,4.9166667,-75.95
Baranoa,Atlántico,10.8,-74.9166667
Baraya,Huila,3.1666667,-75
Barbacoas,Nariño,1.5833333,-78
Barbosa,Antioquia,6.45,-75.3333333
Barbosa,Santander,6,-73.55
Barichara,Santander,6.75,-73.1666667
Barranca de Upía,Meta,4.5755556,-72.9611111
Barrancabermeja,Santander,7.0652778,-73.8547222
Barrancas,La Guajira,11,-72.75
Barranco de Loba,Bolívar,8.8333333,-74.1666667
Barranquilla,Atlántico,10.9638889,-74.7963889
Becerríl,Cesar,9.705,-73.2847222
Belalcázar,Caldas,5,-75.8333333
Bello,Antioquia,6.3388889,-75.5622222
Belmira,Antioquia,6.6666667,-75.6666667
Beltrán,Cundinamarca,4.8,-74.75
Belén,Boyacá,6.0833333,-72.9166667
Belén,Nariño,1.5975,-77.0175
Belén de Bajirá,Chocó,7.3725,-76.7147222
Belén de Umbría,Risaralda,5.25,-75.9166667
Belén de los Andaquíes,Caquetá,1.4166667,-75.9166667
Berbeo,Boyacá,5.3333333,-73
Betania,Antioquia,5.75,-75.9666667
Beteitiva,Boyacá,6,-72.8333333
Betulia,Antioquia,6.2,-75.9166667
Betulia,Santander,7.0833333,-73.3333333
Bituima,Cundinamarca,4.9166667,-74.55
Boavita,Boyacá,6.4166667,-72.5833333
Bochalema,Norte de Santander,7.6666667,-72.5833333
Bogota,Cundinamarca,4.649178,-74.062827
Bojacá,Cundinamarca,4.75,-74.3333333
Bojayá (Bellavista),Chocó,6.5236111,-76.9744444
Bolívar,Antioquia,5.8333333,-76
Bolívar,Cauca,1.8333333,-76.9166667
Bolívar,Santander,6.25,-74
Bolívar,Valle del Cauca,4.3333333,-76.3333333
Bosconia,Cesar,9.9761111,-73.8902778
Boyacá,Boyacá,5.5,-72.5
Briceño,Antioquia,7.1122222,-75.5541667
Briceño,Boyacá,5.75,-73.8333333
Bucaramanga,Santander,7.125393,-73.119804
Bucarasica,Norte de Santander,8.0833333,-73
Buenaventura,Valle del Cauca,3.8933333,-77.0697222
Buenavista,Boyacá,5.5,-73.9666667
Buenavista,Córdoba,8.7575,-75.89
Buenavista,Quindío,4.3622222,-75.7394444
Buenavista,Sucre,9.3222222,-74.9772222
Buenos Aires,Cauca,2.9166667,-76.6666667
Buesaco,Nariño,1.25,-77.0833333
Buga,Valle del Cauca,3.9022222,-76.3027778
Bugalagrande,Valle del Cauca,4.2094444,-76.1602778
Burítica,Antioquia,6.75,-75.9166667
Busbanza,Boyacá,5.9166667,-72.85
Cabrera,Cundinamarca,3.9780556,-74.4858333
Cabrera,Santander,6.6333333,-73.2
Cabuyaro,Meta,4.2902778,-72.7905556
Cachipay,Cundinamarca,5.2666667,-74.5666667
Caicedo,Antioquia,6.45,-75.9666667
Caicedonia,Valle del Cauca,4.33365917459535,-75.8342456817627
Caimito,Sucre,8.8333333,-75.1666667
Cajamarca,Tolima,4.4166667,-75.5
Cajibío,Cauca,2.6666667,-76.6666667
Cajicá,Cundinamarca,5,-74.05
Calamar,Bolívar,10.25,-75
Calamar,Guaviare,1.9597222,-72.6538889
Calarcá,Quindío,4.5325,-75.6436111
Caldas,Antioquia,6.0833333,-75.6333333
Caldas,Boyacá,5.55,-73.8833333
Caldono,Cauca,2.8333333,-76.4166667
California,Santander,7.4166667,-72.85
Calima (Darién),Valle del Cauca,3.9166667,-76.6666667
Caloto,Cauca,3.0833333,-76.3333333
Calí,Valle del Cauca,3.4372222,-76.5225
Campamento,Antioquia,7.0833333,-75.25
Campo de la Cruz,Atlántico,10.4166667,-74.9166667
Campoalegre,Huila,2.6666667,-75.3333333
Campohermoso,Boyacá,5.0833333,-73
Canalete,Córdoba,8.6761111,-76.2041667
Candelaria,Atlántico,10.5,-74.8333333
Candelaria,Valle del Cauca,3.4130556,-76.3511111
Cantagallo,Bolívar,7.3791667,-73.9180556
Cantón de San Pablo,Chocó,5.3388889,-76.7313889
Caparrapí,Cundinamarca,5.4166667,-74.5833333
Capitanejo,Santander,6.6,-72.6333333
Caracolí,Antioquia,6.4119444,-74.7605556
Caramanta,Antioquia,5.5833333,-75.5833333
Carcasí,Santander,6.8333333,-72.5
Carepa,Antioquia,7.7663889,-76.6611111
Carmen de Apicalá,Tolima,4.15,-74.7333333
Carmen de Carupa,Cundinamarca,5.3502778,-73.9052778
Carmen de Viboral,Antioquia,6.085,-75.3386111
Carmen del Darién (CURBARADÓ),Chocó,7.158,-76.971
Carolina,Antioquia,6.8,-75.25
Cartagena,Bolívar,10.3997222,-75.5144444
Cartagena del Chairá,Caquetá,1.35,-74.84
Cartago,Valle del Cauca,4.7463889,-75.9116667
Carurú,Vaupés,0.9166667,-70.7333333
Casabianca,Tolima,5.0833333,-75.1666667
Castilla la Nueva,Meta,3.8,-73.5833333
Caucasia,Antioquia,7.9166667,-75
Cañasgordas,Antioquia,6.75,-76
Cepita,Santander,6.8333333,-72.9166667
Cereté,Córdoba,8.9166667,-76
Cerinza,Boyacá,6,-72.9166667
Cerrito,Santander,7,-72.5833333
Cerro San Antonio,Magdalena,10.25,-74.8333333
Chachaguí,Nariño,1.35943053925138,-77.2836685180664
Chaguaní,Cundinamarca,5,-74.65
Chalán,Sucre,9.5491667,-75.3161111
Chaparral,Tolima,3.75,-75.5833333
Charalá,Santander,6.25,-73.0833333
Charta,Santander,7.3,-72.9666667
Chigorodó,Antioquia,7.6666667,-76.6666667
Chima,Santander,6.4166667,-73.3333333
Chimichagua,Cesar,9.2577778,-73.8177778
Chimá,Córdoba,9.0833333,-75.6333333
Chinavita,Boyacá,5.25,-73.3333333
Chinchiná,Caldas,5,-75.6666667
Chinácota,Norte de Santander,7.75,-72.55
Chinú,Córdoba,9.0833333,-75.3333333
Chipaque,Cundinamarca,4.5,-74.0833333
Chipatá,Santander,6.1333333,-73.55
Chiquinquira,Boyacá,5.617,-73.8
Chiriguaná,Cesar,9.5,-73.4166667
Chiscas,Boyacá,6.75,-72.3333333
Chita,Boyacá,6.1666667,-72.4166667
Chitagá,Norte de Santander,7.1666667,-72.5833333
Chitaraque,Boyacá,6.0833333,-73.3666667
Chivatá,Boyacá,5.5333333,-73.2666667
Chivolo,Magdalena,10.0280556,-74.6436111
Choachí,Cundinamarca,4.5833333,-73.9166667
Chocontá,Cundinamarca,5.1666667,-73.6666667
Chámeza,Casanare,5,-72.75
Chía,Cundinamarca,4.9166667,-74.05
Chíquiza,Boyacá,5.6083333,-73.4886111
Chívor,Boyacá,4.8855556,-73.3688889
Cicuco,Bolívar,9.4166667,-74.7333333
Cimitarra,Santander,6.3161111,-73.9505556
Circasia,Quindío,4.6166667,-75.6333333
Cisneros,Antioquia,6.5833333,-75.0833333
Ciénaga,Boyacá,5.4666667,-73.25
Ciénaga,Magdalena,10.8333333,-74.0833333
Ciénaga de Oro,Córdoba,8.8333333,-75.6666667
Clemencia,Bolívar,10.5891667,-75.3341667
Cocorná,Antioquia,6,-75
Coello,Tolima,4.3333333,-74.9166667
Cogua,Cundinamarca,5.15,-73.9666667
Colombia,Huila,2.5,-75.75
Colosó (Ricaurte),Sucre,9.4966667,-75.3555556
Colón,Putumayo,1.1936111,-76.9769444
Colón (Génova),Nariño,1.5833333,-77
Concepción,Antioquia,6.4166667,-75.25
Concepción,Santander,6.9166667,-72.5
Concordia,Antioquia,6.0833333,-75.9166667
Concordia,Magdalena,9.8402778,-74.4447222
Condoto,Chocó,5.1666667,-76.5
Confines,Santander,6.4166667,-73.1666667
Consaca,Nariño,1.20840649727186,-77.4632263183594
Contadero,Nariño,0.9166667,-77.5333333
Contratación,Santander,6.3333333,-73.4166667
Convención,Norte de Santander,8.8333333,-73.2
Copacabana,Antioquia,6.3333333,-75.5
Coper,Boyacá,5.4333333,-74.0333333
Cordobá,Quindío,4.3905556,-75.6888889
Corinto,Cauca,3.1666667,-76.2
Coromoro,Santander,6.3333333,-73
Corozal,Sucre,9.3333333,-75.25
Corrales,Boyacá,5.8666667,-72.8333333
Cota,Cundinamarca,4.8333333,-74.1333333
Cotorra,Córdoba,9.05,-75.8
Covarachía,Boyacá,6.5833333,-72.7
Coveñas,Sucre,9.4166667,-75.7
Coyaima,Tolima,3.79694,-75.1946
Cravo Norte,Arauca,6.3030556,-70.2016667
Cuaspud (Carlosama),Nariño,0.8658333,-77.7294444
Cubarral,Meta,3.7713889,-73.8377778
Cubará,Boyacá,7.0411111,-72.0608333
Cucaita,Boyacá,5.5333333,-73.4666667
Cucunubá,Cundinamarca,5.25,-73.75
Cucutilla,Norte de Santander,7.5,-72.75
Cuitiva,Boyacá,5.65,-72.9166667
Cumaral,Meta,4.25,-73.3333333
Cumaribo,Vichada,4.4444444,-69.8002778
Cumbal,Nariño,0.9166667,-77.9166667
Cumbitara,Nariño,1.6533333,-77.5833333
Cunday,Tolima,4.0833333,-74.6666667
Curillo,Caquetá,1.0352778,-75.9247222
Curití,Santander,6.6666667,-73
Curumaní,Cesar,9.2041667,-73.5486111
Cáceres,Antioquia,7.6666667,-75.3333333
Cáchira,Norte de Santander,7.75,-73.1666667
Cácota,Norte de Santander,7.25,-72.5833333
Cáqueza,Cundinamarca,4.45,-73.95
Cértegui,Chocó,5.4,-76.6
Cómbita,Boyacá,5.75,-73.25
Córdoba,Bolívar,9.5,-74.9166667
Córdoba,Nariño,0.7833333,-77.3333333
Cúcuta,Norte de Santander,7.8833333,-72.5052778
Dabeiba,Antioquia,7,-76.25
Dagua,Valle del Cauca,3.6602778,-76.6927778
Dibulla,La Guajira,11.2722222,-73.3055556
Distracción,La Guajira,10.8977778,-72.8869444
Dolores,Tolima,3.6666667,-74.75
Don Matías,Antioquia,6.5,-75.3333333
Dos Quebradas,Risaralda,4.8347222,-75.6725
Duitama,Boyacá,5.8269444,-73.0202778
Durania,Norte de Santander,7.75,-72.6333333
Ebéjico,Antioquia,6.3333333,-75.75
El Bagre,Antioquia,7.5941667,-74.8119444
El Banco,Magdalena,9.0455556,-73.9747222
El Cairo,Valle del Cauca,4.75,-76.25
El Calvario,Meta,4.4166667,-73.6666667
El Carmen,Norte de Santander,8.75,-73.3333333
El Carmen,Santander,6698,-73.511
El Carmen de Bolívar,Bolívar,9.75,-75.1666667
El Castillo,Meta,3.5680556,-73.7838889
El Cerrito,Valle del Cauca,3.6666667,-76.1666667
El Charco,Nariño,2.3333333,-78.35
El Cocuy,Boyacá,6.4166667,-72.4166667
El Colegio,Cundinamarca,4.5833333,-74.45
El Copey,Cesar,10.1505556,-73.965
El Doncello,Caquetá,1.6794444,-75.2791667
El Dorado,Meta,2.7791667,-72.8719444
El Dovio,Valle del Cauca,4.5,-76.25
El Espino,Boyacá,6.5833333,-72.4166667
El Guacamayo,Santander,6.3333333,-73.4666667
El Guamo,Bolívar,10.0833333,-74.9166667
El Molino,La Guajira,10.6533333,-72.9241667
El Paso,Cesar,9.6622222,-73.7519444
El Paujil,Caquetá,1.564,-75.332
El Peñol,Nariño,1.4333333,-77.4333333
El Peñon,Bolívar,8.9833333,-73.95
El Peñon,Santander,6.55,-72.8333333
El Peñón,Cundinamarca,5.3333333,-74.3333333
El Piñon,Magdalena,10.3333333,-74.6666667
El Playón,Santander,7.4766667,-73.2080556
El Retorno,Guaviare,2.3305556,-72.6277778
El Retén,Magdalena,10.6166667,-74.2666667
El Roble,Sucre,9.1,-75.2
El Rosal,Cundinamarca,4.85,-74.2666667
El Rosario,Nariño,1.8333333,-77.3333333
El Tambo,Cauca,2.5,-77
El Tambo,Nariño,1.4,-77.3333333
El Tarra,Norte de Santander,8.5847222,-73.0883333
El Zulia,Norte de Santander,7.9355556,-72.605
El Águila,Valle del Cauca,4.9166667,-76.0833333
Elías,Huila,2.0833333,-76
Encino,Santander,6.1666667,-73
Enciso,Santander,6.75,-72.6333333
Entrerríos,Antioquia,6.5833333,-75.5833333
Envigado,Antioquia,6.1730556,-75.5638889
Espinal,Tolima,4.2,-74.8333333
Facatativá,Cundinamarca,4.8166667,-74.3666667
Falan,Tolima,5.1333333,-75
Filadelfia,Caldas,5.3,-75.6
Filandia,Quindío,4.6666667,-75.6333333
Firavitoba,Boyacá,5.75,-72.9666667
Flandes,Tolima,4.25,-74.8333333
Florencia,Caquetá,1.6175,-75.6175
Florencia,Cauca,1.6944444,-77.0758333
Floresta,Boyacá,5.9166667,-72.9166667
Florida,Valle del Cauca,3.3275,-76.2386111
Floridablanca,Santander,7.0647222,-73.0897222
Florián,Santander,5.8047222,-73.9741667
Fonseca,La Guajira,10.8333333,-72.8333333
Fortúl,Arauca,6.7461111,-71.8566667
Fosca,Cundinamarca,4.3333333,-73.9166667
Francisco Pizarro,Nariño,2.1019444,-78.7216667
Fredonia,Antioquia,5.9166667,-75.6666667
Fresno,Tolima,5.1666667,-75.0833333
Frontino,Antioquia,6.6666667,-76.3333333
Fuente de Oro,Meta,3.4594444,-73.6127778
Fundación,Magdalena,10.4166667,-73.9166667
Funes,Nariño,0.95,-77.3333333
Funza,Cundinamarca,4.7833333,-74.2
Fusagasugá,Cundinamarca,4.4166667,-74.4
Fómeque,Cundinamarca,4.5833333,-73.8333333
Fúquene,Cundinamarca,5.4166667,-73.8
Gachalá,Cundinamarca,4.6666667,-73.5
Gachancipá,Cundinamarca,5.0833333,-73.8833333
Gachantivá,Boyacá,5.75,-73.5
Gachetá,Cundinamarca,4.9166667,-73.6666667
Galapa,Atlántico,10.9166667,-74.8333333
Galeras (Nueva Granada),Sucre,9.1630556,-75.0525
Galán,Santander,6.7,-73.3
Gama,Cundinamarca,4.75,-73.6
Gamarra,Cesar,8.3333333,-73.6666667
Garagoa,Boyacá,5.1333333,-73.3
Garzón,Huila,2.25,-75.5833333
Gigante,Huila,2.5,-75.5
Ginebra,Valle del Cauca,3.75,-76.1666667
Giraldo,Antioquia,6.6666667,-75.9166667
Girardot City,Cundinamarca,4.3030556,-74.8008333
Girardota,Antioquia,6.4166667,-75.45
Girón,Santander,7.0708333,-73.1730556
Gonzalez,Cesar,8.4,-73.3333333
Gramalote,Norte de Santander,7.9166667,-72.75
Granada,Antioquia,6.1666667,-75.1333333
Granada,Cundinamarca,5.0666667,-74.5666667
Granada,Meta,3.5386111,-73.7005556
Guaca,Santander,7,-72.7666667
Guacamayas,Boyacá,6.5,-72.5
Guacarí,Valle del Cauca,3.7694444,-76.3380556
Guachavés,Nariño,1.2247222,-77.68
Guachené,Cauca,3.1333333,-76.3833333
Guacheta,Cundinamarca,5.4166667,-73.7
Guachucal,Nariño,1,-77.75
Guadalupe,Antioquia,6.8175,-75.2441667
Guadalupe,Huila,2.0833333,-75.6666667
Guadalupe,Santander,6.3,-73.3333333
Guaduas,Cundinamarca,5.25,-74.6666667
Guaitarilla,Nariño,1.15,-77.5
Gualmatán,Nariño,0.8333333,-77.5833333
Guamal,Magdalena,9.25,-74.1666667
Guamal,Meta,3.9166667,-74
Guamo,Tolima,4.0833333,-74.9166667
Guapota,Santander,6.3833333,-73.25
Guapí,Cauca,2.4166667,-77.6
Guaranda,Sucre,8.4697222,-75.5383333
Guarne,Antioquia,6.25,-75.4166667
Guasca,Cundinamarca,4.8333333,-73.8333333
Guatapé,Antioquia,6.25,-75.1666667
Guataquí,Cundinamarca,4.5833333,-74.8
Guatavita,Cundinamarca,4.9666667,-73.75
Guateque,Boyacá,5.0833333,-73.5
Guavatá,Santander,6,-73.65
Guayabal de Siquima,Cundinamarca,4.8813889,-74.4702778
Guayabetal,Cundinamarca,4.2163889,-73.8133333
Guayatá,Boyacá,5,-73.5
Guepsa,Santander,6.0833333,-73.5
Guicán,Boyacá,6.75,-72.1666667
Gutiérrez,Cundinamarca,4.25,-74
Guática,Risaralda,5.3333333,-75.8333333
Gámbita,Santander,6,-73.25
Gámeza,Boyacá,5.85,-72.75
Génova,Quindío,4.25,-75.6666667
Gómez Plata,Antioquia,6.75,-75.8333333
Hacarí,Norte de Santander,8.5,-73.0833333
Hatillo de Loba,Bolívar,8.9586111,-74.0808333
Hato,Santander,6.5833333,-73.3333333
Hato Corozal,Casanare,6.1555556,-71.7655556
Hatonuevo,La Guajira,11.0694444,-72.7669444
Heliconia,Antioquia,6.2333333,-75.75
Herrán,Norte de Santander,7.5,-72.4666667
Herveo,Tolima,5.0833333,-75.1666667
Hispania,Antioquia,5.8025,-75.9116667
Hobo,Huila,2.5833333,-75.5
Honda,Tolima,5.25,-74.8333333
Ibague,Tolima,4.4388889,-75.2322222
Icononzo,Tolima,4.1666667,-74.55
Iles,Nariño,0.95,-77.5333333
Imúes,Nariño,1.05,-77.5
Inzá,Cauca,2.6666667,-76.0833333
Inírida,Guainía,3.8652778,-67.9238889
Ipiales,Nariño,0.8302778,-77.6444444
Isnos,Huila,2.0833333,-76.25
Istmina,Chocó,5.1588889,-76.6916667
Itagüí,Antioquia,6.1719444,-75.6113889
Ituango,Antioquia,7.25,-76
Izá,Boyacá,5.6666667,-72.9166667
Jambaló,Cauca,2.85,-76.3166667
Jamundí,Valle del Cauca,3.1666667,-76.5833333
Jardín,Antioquia,5.5833333,-75.8333333
Jenesano,Boyacá,5.3888889,-73.3680556
Jericó,Antioquia,5.75,-75.75
Jericó,Boyacá,6.2,-72.5833333
Jerusalén,Cundinamarca,4.6666667,-74.6666667
Jesús María,Santander,5.9166667,-73.8333333
Jordán,Santander,6.75,-73.0666667
Juan de Acosta,Atlántico,10.8333333,-75.0333333
Junín,Cundinamarca,4.75,-73.6666667
Juradó,Chocó,7,-77.6666667
La Argentina,Huila,2.25,-76.1666667
La Belleza,Santander,5.8613889,-73.9683333
La Calera,Cundinamarca,4.75,-73.9166667
La Capilla,Boyacá,5.15,-73.45
La Ceja,Antioquia,6,-75.4166667
La Celia,Risaralda,4.9666667,-76
La Cruz,Nariño,1.55,-76.8833333
La Cumbre,Valle del Cauca,3.6666667,-76.5833333
La Dorada,Caldas,5.5333333,-74.7
La Esperanza,Norte de Santander,8.1666667,-72.4666667
La Estrella,Antioquia,6.1666667,-75.6666667
La Florida,Nariño,1.25,-77.4166667
La Gloria,Cesar,8.5833333,-73.5833333
La Jagua de Ibirico,Cesar,9.5641667,-73.3375
La Jagua del Pilar,La Guajira,10.5166667,-73.0833333
La Llanada,Nariño,1.4777778,-77.5838889
La Macarena,Meta,2.8536111,-73.9436111
La Merced,Caldas,5.4019444,-75.8847222
La Mesa,Cundinamarca,4.6666667,-74.5
La Montañita,Caquetá,1.5833333,-75.25
La Palma,Cundinamarca,5.4166667,-74.4166667
La Paz,Santander,6.25,-73.4666667
La Paz (Robles),Cesar,10.1666667,-73.25
La Peña,Cundinamarca,5.25,-74.4166667
La Pintada,Antioquia,5.75,-75.6
La Plata,Huila,2.4166667,-76.1666667
La Playa,Norte de Santander,8.25,-73.1666667
La Primavera,Vichada,5.4905556,-70.4091667
La Salina,Casanare,6.1852778,-72.3444444
La Sierra,Cauca,2.25,-76.8333333
La Tebaida,Quindío,4.45,-75.8
La Tola,Nariño,2.4108333,-78.2427778
La Unión,Antioquia,5.9166667,-75.3333333
La Unión,Nariño,1.5833333,-77.0833333
La Unión,Sucre,8.8605556,-75.2805556
La Unión,Valle del Cauca,4.5358333,-76.1066667
La Uvita,Boyacá,6.3333333,-72.5
La Vega,Cauca,2.0833333,-76.8333333
La Vega,Cundinamarca,5,-74.35
La Victoria,Boyacá,5.5258333,-74.2361111
La Victoria,Caldas,4.5238889,-76.0411111
La Victoria,Valle del Cauca,4.5238889,-76.0411111
La Virginia,Risaralda,4.9166667,-75.8333333
Labateca,Norte de Santander,7.3333333,-72.5
Labranzagrande,Boyacá,5.5833333,-72.5833333
Landázuri,Santander,6.2238889,-73.8127778
Lebrija,Santander,7.4166667,-73.4166667
Leiva,Nariño,1.9375,-77.3080556
Lejanías,Meta,3.5136111,-74.0516667
Lenguazaque,Cundinamarca,5.3333333,-73.6666667
Leticia,Amazonas,-4.2152778,-69.9405556
Liborina,Antioquia,6.75,-75.75
Linares,Nariño,1.3833333,-77.45
Lloró,Chocó,5.5833333,-76.4166667
Lorica,Córdoba,9.1666667,-75.8333333
Los Córdobas,Córdoba,8.9,-76.3597222
Los Palmitos,Sucre,9.3811111,-75.2713889
Los Patios,Norte de Santander,7.8383333,-72.5133333
Los Santos,Santander,6.9166667,-73.0833333
Lourdes,Norte de Santander,7.9666667,-72.8333333
Luruaco,Atlántico,10.6141667,-75.1461111
Lérida,Tolima,4.9166667,-74.9166667
Líbano,Tolima,4.9166667,-75.1666667
López (Micay),Cauca,2.4333333,-76.8
Macanal,Boyacá,4.9166667,-73.25
Macaravita,Santander,6.5833333,-72.5333333
Maceo,Antioquia,6.5,-74.75
Machetá,Cundinamarca,5.0833333,-73.6166667
Madrid,Cundinamarca,4.8333333,-74.3
Magangué,Bolívar,9.2413889,-74.7533333
Magüi (Payán),Nariño,1.9166667,-77.8333333
Mahates,Bolívar,10.1666667,-75.1666667
Maicao,La Guajira,11.3841667,-72.2441667
Majagual,Sucre,8.5,-74.6666667
Malambo,Atlántico,10.8588889,-74.7730556
Mallama (Piedrancha),Nariño,1.0833333,-77.8166667
Manatí,Atlántico,10.5,-75
Manaure,La Guajira,11.7791667,-72.4494444
Manaure Balcón del Cesar,Cesar,10.3927778,-73.0325
Manizales,Caldas,5.07,-75.5205556
Manta,Cundinamarca,5.0833333,-73.5833333
Manzanares,Caldas,5.25,-75.1666667
Maní,Casanare,4.8333333,-72.3333333
Mapiripan,Meta,2.8911111,-72.1322222
Margarita,Bolívar,9.0833333,-74.2
Marinilla,Antioquia,6.2,-75.3
Maripí,Boyacá,5.5833333,-74
Mariquita,Tolima,5.25,-74.9166667
Marmato,Caldas,5.5,-75.5833333
Marquetalia,Caldas,5.3333333,-75
Marsella,Risaralda,4.9166667,-75.75
Marulanda,Caldas,5.3333333,-75.25
María la Baja,Bolívar,10,-75.3333333
Matanza,Santander,7.4166667,-73.0833333
Medellín,Antioquia,6.2913889,-75.5361111
Medina,Cundinamarca,4.5,-73.3333333
Medio San Juan (ANDAGOYA),Chocó,5.1,-76.683
Melgar,Tolima,4.25,-74.5833333
Mercaderes,Cauca,1.75,-77.1666667
