ciudad,departamento,latitude,longitude
Mesetas,Meta,3.3780556,-74.0447222
Milán,Caquetá,1.3483333,-75.5116667
Miraflores,Boyacá,5.25,-73.1666667
Miraflores,Guaviare,1.3366667,-71.9511111
Miranda,Cauca,3.25,-76.25
Mistrató,Risaralda,5.4166667,-76
Mitú,Vaupés,1.1983333,-70.1733333
Mocoa,Putumayo,1.1488889,-76.6477778
Mogotes,Santander,6.5833333,-72.9166667
Molagavita,Santander,6.75,-72.75
Momil,Córdoba,9.2372222,-75.6780556
Mompós,Bolívar,9.25,-74.5833333
Mongua,Boyacá,5.8333333,-72.6666667
Monguí,Boyacá,5.75,-72.8333333
Moniquira,Boyacá,5.9166667,-73.5
Montebello,Antioquia,5.9166667,-75.5
Montecristo,Bolívar,8.2994444,-74.4755556
Montelíbano,Córdoba,7.75,-75.6666667
Montenegro,Quindío,4.5,-75.8
Monteria,Córdoba,8.7575,-75.89
Monterrey,Casanare,4.9166667,-72.8333333
Morales,Bolívar,8.4166667,-74
Morales,Cauca,2.8,-76.6666667
Morelia,Caquetá,1.4875,-75.725
Morroa,Sucre,9.4166667,-75.3333333
Mosquera,Cundinamarca,4.75,-74.3333333
Mosquera,Nariño,2.35,-78.35
Motavita,Boyacá,5.5797222,-73.3713889
Moñitos,Córdoba,8.25,-76.05
Murillo,Tolima,4.8769444,-75.1738889
Murindó,Antioquia,6.8,-76.8
Mutatá,Antioquia,7.3333333,-76.5
Mutiscua,Norte de Santander,7.3333333,-72.7166667
Muzo,Boyacá,5.5166667,-74.1166667
Málaga,Santander,6.7833333,-72.6666667
Nariño,Antioquia,5.6,-75.1666667
Nariño,Cundinamarca,4.45,-74.8
Nariño,Nariño,1.5,-78
Natagaima,Tolima,3.5833333,-75.0833333
Nechí,Antioquia,8.0963889,-74.7758333
Necoclí,Antioquia,8.4238889,-76.7911111
Neira,Caldas,5.1666667,-75.5
Neiva,Huila,2.9305556,-75.3302778
Nemocón,Cundinamarca,5.1333333,-73.9
Nilo,Cundinamarca,4.3333333,-74.5833333
Nimaima,Cundinamarca,5.2,-74.4166667
Nobsa,Boyacá,5.8333333,-72.9166667
Nocaima,Cundinamarca,5.1166667,-74.4166667
Norcasia,Caldas,5.5666667,-74.8833333
Norosí,Bolívar,8.5333333,-74.0333333
Novita,Chocó,4.9166667,-76.5833333
Nueva Granada,Magdalena,9.8030556,-74.3902778
Nuevo Colón,Boyacá,5.4166667,-73.4166667
Nunchía,Casanare,5.6405556,-72.1986111
Nuquí,Chocó,6,-77.3333333
Nátaga,Huila,2.65,-75.8
Obando,Valle del Cauca,4.5833333,-75.9166667
Ocamonte,Santander,6.4166667,-73.0833333
Ocana,Norte de Santander,8.25,-73.3
Oiba,Santander,6.3,-73.25
Oicatá,Boyacá,5.6,-73.3166667
Olaya,Antioquia,6.6666667,-75.75
Olaya Herrera,Nariño,1.2666667,-77.4833333
Onzaga,Santander,6.3333333,-72.75
Oporapa,Huila,2.0833333,-76.0166667
Orito,Putumayo,0.6966667,-76.8747222
Orocué,Casanare,4.7941667,-71.34
Ortega,Tolima,3.9166667,-75.25
Ospina,Nariño,1.0333333,-77.55
Otanche,Boyacá,5.75,-74.25
Ovejas,Sucre,9.5,-75.1666667
Pachavita,Boyacá,5.1333333,-73.4
Pacho,Cundinamarca,5.25,-74.1666667
Padilla,Cauca,3.0666667,-76.3166667
Paicol,Huila,2.45,-75.75
Pailitas,Cesar,8.9661111,-73.6316667
Paime,Cundinamarca,5.4166667,-74.1666667
Paipa,Boyacá,5.8333333,-73.1
Pajarito,Boyacá,5.4166667,-72.6666667
Palermo,Huila,3,-75.5
Palestina,Caldas,5.0833333,-75.6666667
Palestina,Huila,1.75,-76.0666667
Palmar,Santander,6.5833333,-73.25
Palmar de Varela,Atlántico,10.7466667,-74.7555556
Palmas del Socorro,Santander,6.45,-73.25
Palmira,Valle del Cauca,3.5394444,-76.3036111
Palmito,Sucre,9.3333333,-75.55
Palocabildo,Tolima,5.1333333,-75.0333333
Pamplona,Norte de Santander,7.3780556,-72.6525
Pamplonita,Norte de Santander,7.5,-72.5833333
Pandi,Cundinamarca,4.25,-74.5
Panqueba,Boyacá,6.5,-72.4166667
Paratebueno,Cundinamarca,4.3730556,-73.2213889
Pasca,Cundinamarca,4.3333333,-74.2833333
Patía (El Bordo),Cauca,2.1155556,-76.9891667
Pauna,Boyacá,5.75,-73.9166667
Paya,Boyacá,5.6666667,-72.3816667
Paz de Ariporo,Casanare,5.8833333,-71.9
Paz de Río,Boyacá,6.0833333,-72.75
Pedraza,Magdalena,10.1666667,-74.75
Pelaya,Cesar,8.6916667,-73.6663889
Pensilvania,Caldas,5.5,-75.0833333
Peque,Antioquia,7,-75.8333333
Pereira,Risaralda,4.8133333,-75.6961111
Pesca,Boyacá,5.5833333,-73.05
Peñol,Antioquia,6.25,-75.25
Piamonte,Cauca,7.7833333,-75.2
Pie de Cuesta,Santander,5.8383333,-74.0366667
Piedras,Tolima,4.5,-74.9166667
Piendamó,Cauca,2.75,-76.5
Pijao,Quindío,4.3333333,-75.6666667
Pijiño,Magdalena,9.3302778,-74.4497222
Pinchote,Santander,6.5833333,-73.1666667
Pinillos,Bolívar,8.9172222,-74.4663889
Piojo,Atlántico,10.75,-75.1333333
Pisva,Boyacá,5.7427778,-72.4894444
Pital,Huila,2.3333333,-75.8333333
Pitalito,Huila,1.75,-76.1666667
Pivijay,Magdalena,10.4166667,-74.3333333
Planadas,Tolima,3.25,-75.75
Planeta Rica,Córdoba,8.3333333,-75.5833333
Plato,Magdalena,9.8333333,-74.3333333
Policarpa,Nariño,1.6316667,-77.4616667
Polonuevo,Atlántico,10.75,-74.7833333
Ponedera,Atlántico,10.6436111,-74.7544444
Popayán,Cauca,3.2775,-75.6213889
Pore,Casanare,5.6708333,-71.93
Potosí,Nariño,0.75,-77.4166667
Pradera,Valle del Cauca,3.4211111,-76.2447222
Prado,Tolima,3.75,-74.8333333
Providencia,Nariño,1.5702778,-77.4694444
Providencia,San Andrés,12.5,-81.75
Pueblo Bello,Cesar,10.3666667,-73.6333333
Pueblo Nuevo,Córdoba,8.2333333,-74.9666667
Pueblo Rico,Risaralda,5.25,-76.1666667
Pueblorrico,Antioquia,5.8,-75.85
Puebloviejo,Magdalena,10.9833333,-74.3333333
Puente Nacional,Santander,5.9166667,-73.5833333
Puerres,Nariño,0.9166667,-77.25
Puerto Asís,Putumayo,0.5158333,-76.495
Puerto Berrío,Antioquia,6.4166667,-74.5
Puerto Boyacá,Boyacá,5.9780556,-74.5897222
Puerto Caicedo,Putumayo,0.6838889,-76.5858333
Puerto Carreño,Vichada,6.1877778,-67.4730556
Puerto Colombia,Atlántico,11.0166667,-74.8833333
Puerto Concordia,Meta,2.6794444,-72.7608333
Puerto Escondido,Córdoba,8.95,-76.25
Puerto Gaitán,Meta,4.3141667,-72.0825
Puerto Guzmán,Putumayo,0.9702778,-76.5858333
Puerto Leguízamo,Putumayo,-0.2,-74.7666667
Puerto Libertador,Córdoba,4.6,-74.1166667
Puerto Lleras,Meta,3,-72.5
Puerto López,Meta,4.0833333,-72.9666667
Puerto Nare,Antioquia,6.1916667,-74.5866667
Puerto Nariño,Amazonas,-3.7702778,-70.3830556
Puerto Parra,Santander,6.6516667,-74.0608333
Puerto Rico,Caquetá,1.9141667,-75.145
Puerto Rico,Meta,2.9383333,-73.2083333
Puerto Rondón,Arauca,6.2780556,-71.1
Puerto Salgar,Cundinamarca,5.5,-74.5833333
Puerto Santander,Norte de Santander,8.3636111,-72.4075
Puerto Tejada,Cauca,3.25,-76.4166667
Puerto Triunfo,Antioquia,5.8708333,-74.6455556
Puerto Wilches,Santander,7.5833333,-73.6666667
Pulí,Cundinamarca,4.75,-74.6666667
Pupiales,Nariño,0.9166667,-77.6666667
Puracé (Coconuco),Cauca,2.3480556,-76.5008333
Purificación,Tolima,3.9166667,-74.9166667
Purísima,Córdoba,9.3,-75.6666667
Pácora,Caldas,5.5,-75.5
Páez,Boyacá,5.1044444,-73.0555556
Páez (Belalcazar),Cauca,5.1044444,-73.0555556
Páramo,Santander,6.5,-73.1333333
Quebradanegra,Cundinamarca,5.15,-74.5
Quetame,Cundinamarca,4.3333333,-73.8333333
Quibdó,Chocó,5.6947222,-76.6611111
Quimbaya,Quindío,4.6333333,-75.75
Quinchía,Risaralda,5.3333333,-75.6666667
Quipama,Boyacá,5.5222222,-74.1808333
Quipile,Cundinamarca,4.75,-74.5833333
Ragonvalia,Norte de Santander,7.5833333,-72.5
Ramiriquí,Boyacá,5.4166667,-73.3333333
Recetor,Casanare,5.3333333,-72.75
Regidor,Bolívar,8.6666667,-73.8333333
Remedios,Antioquia,7,-74.4166667
Remolino,Magdalena,10.6666667,-74.5833333
Repelón,Atlántico,10.55,-75.1333333
Restrepo,Meta,4.1666667,-73.4166667
Restrepo,Valle del Cauca,3.7833333,-76.5
Retiro,Antioquia,6.0833333,-75.5
Ricaurte,Cundinamarca,4.2797222,-74.7761111
Ricaurte,Nariño,1.1666667,-78.1666667
Rio Negro,Santander,7.2191667,-73.1558333
Rioblanco,Tolima,3.5,-75.8333333
Riofrío,Valle del Cauca,4.0833333,-76.3333333
Riohacha,La Guajira,11.5444444,-72.9072222
Risaralda,Caldas,5.1666667,-75.75
Rivera,Huila,2.8333333,-75.1666667
Roberto Payán (San José),Nariño,1.9166667,-78.3333333
Roldanillo,Valle del Cauca,4.4147222,-76.1547222
Roncesvalles,Tolima,4.0833333,-75.5833333
Rondón,Boyacá,5.4166667,-73.1666667
Rosas,Cauca,2.3333333,-76.75
Rovira,Tolima,4.25,-75.3333333
Ráquira,Boyacá,5.6166667,-73.6333333
Río Iró,Chocó,5.1,-76.6666667
Río Quito,Chocó,5.7,-76.6666667
Río Sucio,Caldas,5.3791667,-75.6161111
Río Viejo,Bolívar,8.59,-73.8436111
Río de oro,Cesar,8,-73.5
Ríonegro,Antioquia,6.1666667,-75.4166667
Ríosucio,Chocó,7.4166667,-77.1666667
Sabana de Torres,Santander,7.3980556,-73.4969444
Sabanagrande,Atlántico,10.8,-74.75
Sabanalarga,Antioquia,6.9166667,-75.8
Sabanalarga,Atlántico,10.6333333,-74.8333333
Sabanalarga,Casanare,4.8536111,-73.0430556
Sabanas de San Angel (SAN ANGEL),Magdalena,10.033,-74.217
Sabaneta,Antioquia,6.15,-75.6
Saboyá,Boyacá,5.75,-73.7
Sahagún,Córdoba,8.8333333,-75.4166667
Saladoblanco,Huila,2.0144444,-76.0502778
Salamina,Caldas,5.4166667,-75.4166667
Salamina,Magdalena,10.5,-74.7
Salazar,Norte de Santander,7.8,-72.8333333
Saldaña,Tolima,3.9347222,-75.0202778
Salento,Quindío,4.6666667,-75.5
Salgar,Antioquia,6,-76
Samacá,Boyacá,5.5,-73.5
Samaniego,Nariño,1.4166667,-77.6666667
Samaná,Caldas,5.5833333,-74.9166667
Sampués,Sucre,9.1666667,-75.3
San Agustín,Huila,1.9166667,-76.3333333
San Alberto,Cesar,7.7525,-73.3891667
San Andrés,Santander,6.8333333,-72.75
San Andrés Sotavento,Córdoba,9.1666667,-75.55
San Andrés de Cuerquía,Antioquia,6.917,-75.667
San Antero,Córdoba,9.35,-75.75
San Antonio,Tolima,3.9166667,-75.5
San Antonio de Tequendama,Cundinamarca,4.1333333,-74.5
San Benito,Santander,6.1666667,-73.4666667
San Benito Abad,Sucre,8.75,-74.9166667
San Bernardo,Cundinamarca,4.2,-74.3333333
San Bernardo,Nariño,1.5163889,-77.0466667
San Bernardo del Viento,Córdoba,9.25,-76
San Calixto,Norte de Santander,8.75,-73.0333333
San Carlos,Antioquia,6.2,-74.9166667
San Carlos,Córdoba,8.7,-75.7
San Carlos de Guaroa,Meta,3.7122222,-73.2436111
San Cayetano,Cundinamarca,5.3333333,-74.0833333
San Cayetano,Norte de Santander,7.8833333,-72.5833333
San Cristobal,Bolívar,9.8833333,-75.25
San Diego,Cesar,10.3375,-73.1825
San Eduardo,Boyacá,5.2166667,-73.1333333
San Estanislao,Bolívar,10.3983333,-75.1511111
San Fernando,Bolívar,9.0833333,-74.3333333
San Francisco,Antioquia,6.1166667,-75.9833333
San Francisco,Cundinamarca,5,-74.2833333
San Francisco,Putumayo,1.1772222,-76.8830556
San Gíl,Santander,6.5833333,-73.0833333
San Jacinto,Bolívar,9.8333333,-75.0833333
San Jacinto del Cauca,Bolívar,9.8316667,-75.1263889
San Jerónimo,Antioquia,6.45,-75.7
San Joaquín,Santander,6.4333333,-72.8666667
San José,Caldas,5.0858333,-75.7883333
San José de Miranda,Santander,6.7,-72.6666667
San José de Montaña,Antioquia,6.8502778,-75.6833333
San José de Pare,Boyacá,6.0833333,-73.4666667
San José de Uré,Córdoba,7.767,-75.517
San José del Fragua,Caquetá,1.3611111,-75.9883333
San José del Guaviare,Guaviare,2.5683333,-72.6416667
San José del Palmar,Chocó,4.9166667,-76.25
San Juan de Arama,Meta,3.3463889,-73.8894444
San Juan de Betulia,Sucre,9.2755556,-75.2455556
San Juan de Nepomuceno,Bolívar,9.9566667,-75.0866667
San Juan de Pasto,Nariño,1.21467073681653,-77.2786474227905
San Juan de Río Seco,Cundinamarca,4.9166667,-74.6666667
San Juan de Urabá,Antioquia,8.7630556,-76.53
San Juan del Cesar,La Guajira,10.8333333,-73.0833333
San Juanito,Meta,4.4586111,-73.6730556
San Lorenzo,Nariño,1.5,-77.1666667
San Luis,Tolima,4.1666667,-75.0833333
San Luís,Antioquia,6,-74.8333333
San Luís de Gaceno,Boyacá,4.8213889,-73.1675
San Luís de Palenque,Casanare,5.2805556,-71.5819444
San Marcos,Sucre,8.5833333,-75.1666667
San Martín,Cesar,8.0047222,-73.5152778
San Martín,Meta,3.7,-73.7
San Martín de Loba,Bolívar,8.8333333,-73.9166667
San Mateo,Boyacá,6.5,-72.5
San Miguel,Santander,6.6666667,-72.55
San Miguel,Putumayo,0.3394444,-76.8830556
San Miguel de Sema,Boyacá,5.55,-73.75
San Onofre,Sucre,9.8333333,-75.5
San Pablo,Bolívar,10.0527778,-75.2680556
San Pablo,Nariño,1.6666667,-76.9166667
San Pablo de Borbur,Boyacá,5.75,-74.0833333
San Pedro,Antioquia,6.45,-75.5833333
San Pedro,Sucre,9.4166667,-75
San Pedro,Valle del Cauca,4,-76.1666667
San Pedro de Cartago,Nariño,1.5613889,-77.1180556
San Pedro de Urabá,Antioquia,8.2761111,-76.3786111
San Pelayo,Córdoba,9,-75.9166667
San Rafael,Antioquia,6.3,-75
San Roque,Antioquia,6.4166667,-74.8333333
San Sebastián,Cauca,1.9166667,-76.6666667
San Sebastián de Buenavista,Magdalena,9.3333333,-74.3333333
San Vicente,Antioquia,6.3333333,-75.3333333
San Vicente del Caguán,Caquetá,2.1525,-74.7888889
San Vicente del Chucuri,Santander,6.8836111,-73.4138889
San Zenón,Magdalena,9.3333333,-74.3
Sandoná,Nariño,1.25,-77.45
Santa Ana,Magdalena,9.3166667,-74.5833333
Santa Bárbara,Antioquia,5.8666667,-75.5833333
Santa Bárbara,Santander,6.9927778,-72.9102778
Santa Bárbara (Iscuandé),Nariño,2.3333333,-77.9166667
Santa Bárbara de Pinto,Magdalena,10.6,-74.167
Santa Catalina,Bolívar,10.5833333,-75.25
Santa Fé de Antioquia,Antioquia,6.5597222,-75.8280556
Santa Genoveva de Docorodó,Chocó,4.2586111,-77.3675
Santa Helena del Opón,Santander,6.3375,-73.5919444
Santa Isabel,Tolima,4.75,-75.1666667
Santa Lucía,Atlántico,10.3286111,-74.9644444
Santa Marta,Magdalena,11.2472222,-74.2016667
Santa María,Boyacá,4.8616667,-73.2641667
Santa María,Huila,3,-75.7
Santa Rosa,Bolívar,10.45,-75.3333333
Santa Rosa,Cauca,1.5,-76.5
Santa Rosa de Cabal,Risaralda,4.8680556,-75.6213889
Santa Rosa de Osos,Antioquia,6.6666667,-75.4166667
Santa Rosa de Viterbo,Boyacá,5.9166667,-73
Santa Rosa del Sur,Bolívar,7.9644444,-74.0544444
Santa Rosalía,Vichada,5.1261111,-70.8758333
Santa Sofía,Boyacá,5.75,-73.5833333
Santana,Boyacá,6.0572222,-73.4822222
Santander de Quilichao,Cauca,3.0130556,-76.4866667
Santiago,Norte de Santander,7.9166667,-72.6666667
Santiago,Putumayo,1.1511111,-77.0075
Santo Domingo,Antioquia,6.4722222,-75.1647222
Santo Tomás,Atlántico,10.75,-74.8333333
Santuario,Antioquia,6.1333333,-75.25
Santuario,Risaralda,5.0833333,-76
Sapuyes,Nariño,1.0333333,-77.6
Saravena,Arauca,6.9205556,-71.8533333
Sardinata,Norte de Santander,8.25,-72.75
Sasaima,Cundinamarca,5,-74.45
Sativanorte,Boyacá,6.1666667,-72.6666667
Sativasur,Boyacá,6.1333333,-72.6666667
Segovia,Antioquia,7.25,-74.75
Sesquilé,Cundinamarca,5.0833333,-73.8333333
Sevilla,Valle del Cauca,4.2688889,-75.9361111
Siachoque,Boyacá,5.5833333,-73.1666667
Sibaté,Cundinamarca,4.4913889,-74.2605556
Sibundoy,Putumayo,1.1833333,-76.9166667
Silos,Norte de Santander,7.2,-72.75
Silvania,Cundinamarca,4.5,-74.3333333
Silvia,Cauca,2.75,-76.3333333
Simacota,Santander,6.4472222,-73.3413889
Simijaca,Cundinamarca,5.5833333,-73.8333333
Simití,Bolívar,7.5833333,-74.1666667
Sincelejo,Sucre,9.3047222,-75.3977778
Sincé,Sucre,9.1666667,-75
Sipí,Chocó,4.5833333,-76.5
Sitionuevo,Magdalena,10.9166667,-74.5833333
Soacha,Cundinamarca,4.5872222,-74.2213889
Soatá,Boyacá,6.4166667,-72.6666667
Socha,Boyacá,6,-72.6666667
Socorro,Santander,6.5333333,-73.2
Socotá,Boyacá,6.0833333,-72.5833333
Sogamoso,Boyacá,5.7205556,-72.9297222
Solano,Caquetá,0.7147222,-75.2486111
Soledad,Atlántico,10.9172222,-74.7666667
Solita,Caquetá,0.9,-75.623
Somondoco,Boyacá,4.9877778,-73.4361111
Sonsón,Antioquia,5.75,-75
Sopetrán,Antioquia,6.5,-75.75
Soplaviento,Bolívar,10.3333333,-75.1
Sopó,Cundinamarca,4.9166667,-73.95
Sora,Boyacá,5.5666667,-73.4333333
Soracá,Boyacá,5.5,-73.3166667
Sotaquirá,Boyacá,5.8333333,-73.25
Sotara (Paispamba),Cauca,2.2566667,-76.6186111
Sotomayor (Los Andes),Nariño,1.5155556,-77.495
Suaita,Santander,6.1666667,-73.3
Suan,Atlántico,10.3333333,-74.9166667
Suaza,Huila,1.9166667,-75.8333333
Subachoque,Cundinamarca,5,-74.1666667
Sucre,Cauca,2.0333333,-76.9166667
Sucre,Santander,6.0833333,-73.9166667
Sucre,Sucre,9,-75
Suesca,Cundinamarca,5.1666667,-73.8333333
Supatá,Cundinamarca,5.0833333,-74.25
Supía,Caldas,5.5,-75.6333333
Suratá,Santander,7.5,-72.9666667
Susa,Cundinamarca,5.5,-73.8333333
Susacón,Boyacá,6.2666667,-72.6666667
Sutamarchán,Boyacá,5.6666667,-73.5833333
Sutatausa,Cundinamarca,5.251,-73.856
Sutatenza,Boyacá,5.0166667,-73.45
Suárez,Cauca,2.9588889,-76.6952778
Suárez,Tolima,4.0833333,-74.7833333
Sácama,Casanare,6.0833333,-72.0833333
Sáchica,Boyacá,5.6666667,-73.5
Tabio,Cundinamarca,5,-74.0833333
Tadó,Chocó,5.3333333,-76.4166667
Talaigua Nuevo,Bolívar,9.3069444,-74.5686111
Tamalameque,Cesar,8.8333333,-73.5833333
Tame,Arauca,6.4641667,-71.7288889
Taminango,Nariño,1.5833333,-77.25
Tangua,Nariño,1.0833333,-77.3
Taraira,Vaupés,0.4938889,-69.6669444
Tarazá,Antioquia,7.5833333,-75.35
Tarqui,Huila,2.1666667,-75.9166667
Tarso,Antioquia,5.8333333,-75.8333333
Tasco,Boyacá,5.9166667,-72.7
Tauramena,Casanare,5.0186111,-72.7552778
Tausa,Cundinamarca,5.25,-73.9166667
Tello,Huila,3.0833333,-75.0833333
Tena,Cundinamarca,4.7,-74.4166667
Tenerife,Magdalena,10,-74.6666667
Tenjo,Cundinamarca,4.9166667,-74.1666667
Tenza,Boyacá,5.15,-73.45
Teorama,Norte de Santander,8.75,-73.1666667
Teruel,Huila,2.9166667,-75.6666667
Tesalia,Huila,2.6666667,-75.75
Tibacuy,Cundinamarca,4.3833333,-74.5
Tibaná,Boyacá,5.3333333,-73.3833333
Tibasosa,Boyacá,5.8333333,-72.9666667
Tibirita,Cundinamarca,5.1333333,-73.5333333
Tibú,Norte de Santander,8.6480556,-72.7394444
Tierralta,Córdoba,8.1736111,-76.0591667
Timaná,Huila,2,-75.9166667
Timbiquí,Cauca,2.75,-77.5833333
Timbío,Cauca,2.4166667,-76.75
Tinjacá,Boyacá,5.6333333,-73.65
Tipacoque,Boyacá,6.4233333,-72.6952778
Tiquisio (Puerto Rico),Bolívar,8.5597222,-74.2669444
Titiribí,Antioquia,6.0833333,-75.8
Toca,Boyacá,5.6666667,-73.1666667
Tocaima,Cundinamarca,4.5,-74.6666667
Tocancipá,Cundinamarca,5,-73.9166667
Toguí,Boyacá,5.95,-73.4166667
Toledo,Antioquia,7,-75.7
Toledo,Norte de Santander,7.3,-72.25
Tolú,Sucre,9.5,-75.5333333
Tona,Santander,7.25,-72.9
Topagá,Boyacá,5.8333333,-72.8333333
Topaipí,Cundinamarca,5.4166667,-74.3333333
Toribío,Cauca,3,-76.1666667
Toro,Valle del Cauca,4.6116667,-76.0813889
Tota,Boyacá,5.5,-73
Totoró,Cauca,2.5833333,-76.3333333
Trinidad,Casanare,5.4305556,-71.6311111
Trujillo,Valle del Cauca,4.25,-76.3333333
Tubará,Atlántico,10.9166667,-74.95
Tuchín,Córdoba,9.1833333,-75.55
Tulúa,Valle del Cauca,4.0866667,-76.2
Tumaco,Nariño,1.7986111,-78.8155556
Tunja,Boyacá,5.5352778,-73.3677778
Tunungua,Boyacá,5.7333333,-73.9333333
Turbaco,Bolívar,10.35,-75.3333333
Turbaná,Bolívar,10.25,-75.4166667
Turbo,Antioquia,8,-76.5833333
Turmequé,Boyacá,5.3333333,-73.5
Tuta,Boyacá,5.75,-73.1666667
Tutasá,Boyacá,6.1666667,-72.8333333
Támara,Casanare,5.8297222,-72.1633333
Támesis,Antioquia,5.6666667,-75.6666667
Túquerres,Nariño,1.1666667,-77.5833333
Ubalá,Cundinamarca,4.8333333,-73.5
Ubaque,Cundinamarca,4.5833333,-74
Ubaté,Cundinamarca,5.35,-73.8333333
Ulloa,Valle del Cauca,4.7166667,-75.75
Une,Cundinamarca,4.3333333,-74.0833333
Unguía,Chocó,8.0430556,-77.0961111
Unión Panamericana (ÁNIMAS),Chocó,5.283,-76.617
Uramita,Antioquia,6.8994444,-76.1741667
Uribe,Meta,3.254,-74.358
Uribia,La Guajira,11.9166667,-72
Urrao,Antioquia,6.3333333,-76.4166667
Urumita,La Guajira,10.5666667,-73.0166667
Usiacuri,Atlántico,10.75,-74.9666667
Valdivia,Antioquia,7.3333333,-75.3333333
Valencia,Córdoba,8.3,-76.1666667
Valle de San José,Santander,6.5,-73.0666667
Valle de San Juan,Tolima,4.25,-75.1666667
Valle del Guamuez,Putumayo,0.4525,-76.9191667
Valledupar,Cesar,10.4769444,-73.2505556
Valparaiso,Antioquia,5.6666667,-75.5833333
Valparaiso,Caquetá,1.1991667,-75.7097222
Vegachí,Antioquia,6.7730556,-74.8016667
Venadillo,Tolima,4.75,-74.9166667
Venecia,Antioquia,5.9166667,-75.75
Venecia (Ospina Pérez),Cundinamarca,4.1333333,-74.5
Ventaquemada,Boyacá,5.4166667,-73.5
Vergara,Cundinamarca,5.1666667,-74.3333333
Versalles,Valle del Cauca,4.6666667,-76.25
Vetas,Santander,7.3333333,-72.8666667
Viani,Cundinamarca,4.9166667,-74.55
Vigía del Fuerte,Antioquia,6.5919444,-76.8986111
Vijes,Valle del Cauca,3.6986111,-76.4491667
Villa Caro,Norte de Santander,7.9169444,-72.9763889
Villa Rica,Cauca,2.5136111,-76.8477778
Villa de Leiva,Boyacá,5.6333333,-73.5333333
Villa del Rosario,Norte de Santander,7.8338889,-72.4741667
Villagarzón,Putumayo,1.038,-76.627
Villagómez,Cundinamarca,5.2761111,-74.1988889
Villahermosa,Tolima,5,-75.1666667
Villamaría,Caldas,5,-75.5
Villanueva,Bolívar,10.45,-75.25
Villanueva,La Guajira,10.5833333,-73
Villanueva,Santander,6.6741667,-73.1777778
Villanueva,Casanare,5.2833333,-71.9666667
Villapinzón,Cundinamarca,5.2833333,-73.5833333
Villarrica,Tolima,4,-74.5833333
Villavicencio,Meta,4.1533333,-73.635
Villavieja,Huila,3.3333333,-75.1666667
Villeta,Cundinamarca,5.0833333,-74.5
Viotá,Cundinamarca,4.5,-74.5
Viracachá,Boyacá,5.5,-73.25
Vista Hermosa,Meta,3.0863889,-73.7513889
Viterbo,Caldas,5.0833333,-75.8666667
Vélez,Santander,6.0833333,-73.5833333
Yacopí,Cundinamarca,5.6666667,-74.4166667
Yacuanquer,Nariño,1.0833333,-77.4166667
Yaguará,Huila,2.6666667,-75.5833333
Yalí,Antioquia,6.8333333,-74.75
Yarumal,Antioquia,7,-75.5
Yolombó,Antioquia,6.6666667,-75
Yondó (Casabe),Antioquia,7.0077778,-73.9141667
Yopal,Casanare,5.3394444,-72.3941667
Yotoco,Valle del Cauca,3.9166667,-76.3333333
Yumbo,Valle del Cauca,3.585,-76.4958333
Zambrano,Bolívar,9.75,-74.8333333
Zapatoca,Santander,6.8333333,-73.25
Zapayán (PUNTA DE PIEDRAS),Magdalena,10.171,-74.719
Zaragoza,Antioquia,7.75,-74.75
Zarzal,Valle del Cauca,4.3983333,-76.0772222
Zetaquirá,Boyacá,5.35,-73.1666667
Zipacón,Cundinamarca,4.8333333,-74.4166667
Zipaquira,Cundinamarca,5.0283333,-74.0058333
Ábrego,Norte de Santander,8,-73.2
Íquira,Huila,2.75,-75.75
Úmbita,Boyacá,5.2333333,-73.45
Útica,Cundinamarca,5.25,-74.5
